id,tenant_id,user_id,hired_at,additional_identifiers,gender,date_of_birth,phone_number
9563a7bc-954d-52ba-87da-c7a6cb3d1777,ba6e3b18-bccb-5149-adae-530286c8bd10,caa2d13b-8c60-5c57-b162-ca7187ebef00,2023-03-01T00:00:00,"{""nip"": ""199408232009672316"", ""nuptk"": ""5260256327780784""}",MALE,1984-02-14T00:00:00,(010) 550 0875
a1c51438-8134-5260-bbd7-9102d9897b76,ba6e3b18-bccb-5149-adae-530286c8bd10,da30dc61-58ce-54fe-966c-f657561e55a1,2021-04-01T00:00:00,"{""nip"": ""197410102018509371"", ""nuptk"": ""2337898667917956""}",MALE,1978-01-04T00:00:00,+62 (077) 992-2983
7e12dcb9-b261-50ec-b1bb-9b446f487543,ba6e3b18-bccb-5149-adae-530286c8bd10,572a9a35-efe1-5d47-99c6-ea275fc46c86,2005-01-01T00:00:00,"{""nip"": ""197201272016777665"", ""nuptk"": ""9417622021937970""}",FEMALE,1972-06-22T00:00:00,(0931) 860 3208
a5293469-8b23-520f-8883-b873f0bd5e86,ba6e3b18-bccb-5149-adae-530286c8bd10,0a60a890-1d66-530a-8b25-fcb4f88bfc02,2010-03-01T00:00:00,"{""nip"": ""198002162019699385"", ""nuptk"": ""8250242459989737""}",FEMALE,1989-07-20T00:00:00,(0028) 382-2264
e6ade56a-3b6b-5c42-8539-d85e6aa5b5fb,ba6e3b18-bccb-5149-adae-530286c8bd10,4ab4d1fa-a193-5104-b7e3-70872b4e1bcc,2011-11-01T00:00:00,"{""nip"": ""198904222007673942"", ""nuptk"": ""1307620157007979""}",FEMALE,1991-01-21T00:00:00,+62 (064) 252 4776
82fe09b7-afa1-52dd-b4d6-cf154f1f9001,ba6e3b18-bccb-5149-adae-530286c8bd10,9c332480-7c5e-5f6c-98fd-1ebcb33dbac7,2005-03-01T00:00:00,"{""nip"": ""197108282011607343"", ""nuptk"": ""7112596214187532""}",MALE,1989-09-05T00:00:00,+62 (877) 188 4133
b93b1989-7db9-55fa-9765-b87d510fe34b,ba6e3b18-bccb-5149-adae-530286c8bd10,e61d70c1-550a-5102-ae8c-e64c4996e2c8,2007-07-01T00:00:00,"{""nip"": ""197507092018658902"", ""nuptk"": ""8818663323342715""}",FEMALE,1983-03-12T00:00:00,(0568) 205 2589
f7a363ac-a4d0-584b-94ab-4600389ac6ad,ba6e3b18-bccb-5149-adae-530286c8bd10,0d9eab7d-25a7-50ec-8a5f-caf2bdb8467b,2015-09-01T00:00:00,"{""nip"": ""198408252018401644"", ""nuptk"": ""2593933091780180""}",FEMALE,1972-08-04T00:00:00,+62 (0893) 949 4821
e227acc6-854d-5a77-b6e0-5f7b90bc9ef2,ba6e3b18-bccb-5149-adae-530286c8bd10,88453c98-acff-5379-ae92-84a5b06edaac,2005-02-01T00:00:00,"{""nip"": ""198605272008989056"", ""nuptk"": ""3083678534395208""}",MALE,1973-11-11T00:00:00,+62 (005) 218-5491
547d1dcc-ff3c-5583-9037-28883699f312,ba6e3b18-bccb-5149-adae-530286c8bd10,d41edd08-d40e-5842-b79a-60f27317a17a,2016-09-01T00:00:00,"{""nip"": ""199511062005469046"", ""nuptk"": ""2411961249520987""}",MALE,1989-02-20T00:00:00,+62 (0410) 646 0013
67e02973-a271-5859-b248-d29cc281088d,ba6e3b18-bccb-5149-adae-530286c8bd10,df46a9fa-57ce-50ee-82a3-29cd7ee8cb3f,2013-11-01T00:00:00,"{""nip"": ""198710242011697515"", ""nuptk"": ""6069531553822612""}",MALE,1994-02-26T00:00:00,+62 (089) 557-9906
b581313c-77a5-5fda-bbd9-4b3029582c31,ba6e3b18-bccb-5149-adae-530286c8bd10,6cba0fbd-a7d5-5ce0-8b46-63f95da81207,2010-11-01T00:00:00,"{""nip"": ""198303042006895987"", ""nuptk"": ""7506426011970504""}",FEMALE,1996-09-11T00:00:00,(0615) 846 4506
61e76f55-df3d-557c-8c55-0bad1618225a,ba6e3b18-bccb-5149-adae-530286c8bd10,95d865bb-cf04-5aae-8d08-6fc8fa88effa,2005-07-01T00:00:00,"{""nip"": ""197205112010373529"", ""nuptk"": ""1566361257498892""}",FEMALE,1986-07-01T00:00:00,+62 (0146) 590-8538
3270cb8e-686d-5ede-bc14-c85b4c0e9b58,ba6e3b18-bccb-5149-adae-530286c8bd10,730774d6-02e8-59f1-9d6e-b91f04c50b4d,2023-06-01T00:00:00,"{""nip"": ""197701102008198429"", ""nuptk"": ""6054646877049733""}",FEMALE,1982-08-20T00:00:00,+62 (91) 102-8594
be56f89e-3596-5740-890e-3e9c8266bc99,ba6e3b18-bccb-5149-adae-530286c8bd10,222403ea-62e4-593c-aaf5-66dde4a88877,2019-07-01T00:00:00,"{""nip"": ""199210022017431416"", ""nuptk"": ""2942277015983914""}",MALE,1995-11-12T00:00:00,+62 (56) 663 6322
5388a130-6cfd-5fea-b46b-f92bc942222b,ba6e3b18-bccb-5149-adae-530286c8bd10,7ce93e1a-44af-506c-b83b-1cea525a4b9f,2018-01-01T00:00:00,"{""nip"": ""199105132014956493"", ""nuptk"": ""1519091277768345""}",MALE,1984-12-11T00:00:00,0864230048
9f11bce1-5429-5c7e-a272-d7a279286cc8,ba6e3b18-bccb-5149-adae-530286c8bd10,2376f18c-5d12-557b-af29-e544d5be084d,2005-09-01T00:00:00,"{""nip"": ""199402102018434372"", ""nuptk"": ""9133145860392871""}",FEMALE,1981-04-18T00:00:00,+62 (291) 280 8458
c53113b9-afcb-5c8a-8508-de13deda3bd6,ba6e3b18-bccb-5149-adae-530286c8bd10,6cbc310d-6563-5180-a5e5-a36444cc4cb7,2021-06-01T00:00:00,"{""nip"": ""197303202008224028"", ""nuptk"": ""2132041870358624""}",FEMALE,1983-01-14T00:00:00,+62-0703-826-5384
6060ca0a-5753-5e84-954d-16b1f60a017c,ba6e3b18-bccb-5149-adae-530286c8bd10,fe9393cb-342c-5e53-8be9-a0cf7c9ab9c1,2012-03-01T00:00:00,"{""nip"": ""198107132017350930"", ""nuptk"": ""4791901112088602""}",MALE,1991-09-01T00:00:00,+62 (577) 879-4326
141af019-c491-5b0b-ae99-9f247323d835,ba6e3b18-bccb-5149-adae-530286c8bd10,ec0ba634-e6db-5a90-8720-e888df40ad42,2012-01-01T00:00:00,"{""nip"": ""198711182017367359"", ""nuptk"": ""2330214879556048""}",MALE,2001-05-18T00:00:00,+62 (860) 214-5842
9c45224b-d0e1-5c07-9716-fd019f14b014,ba6e3b18-bccb-5149-adae-530286c8bd10,8d45aef5-ab89-5a0b-8295-344d987f72a2,2006-11-01T00:00:00,"{""nip"": ""197806052007980335"", ""nuptk"": ""5980818508693601""}",MALE,1986-06-21T00:00:00,0839490668
269874b2-c82d-5d38-9fe9-f4b9c961839b,ba6e3b18-bccb-5149-adae-530286c8bd10,ad0f83e7-0d1b-5678-9e92-6a02a5a4ae70,2020-01-01T00:00:00,"{""nip"": ""199306022005758356"", ""nuptk"": ""3187010138088425""}",MALE,1988-11-17T00:00:00,+62 (81) 126-5844
51571710-8c8b-52a2-99dd-6b06ade1dcfb,ba6e3b18-bccb-5149-adae-530286c8bd10,6cac2e84-12fa-57e2-af26-1b01ff184a43,2013-06-01T00:00:00,"{""nip"": ""199307232016928546"", ""nuptk"": ""6058355781825598""}",MALE,1990-06-12T00:00:00,+62-244-845-2630
e077937b-f17d-5903-9cd5-bf34fa122094,ba6e3b18-bccb-5149-adae-530286c8bd10,4f4ff4d2-2a68-50b9-bc35-a140da147203,2014-04-01T00:00:00,"{""nip"": ""198409262020926937"", ""nuptk"": ""6229396158065200""}",MALE,1992-11-14T00:00:00,+62 (828) 025-8220
d2282210-53d9-53fe-9b4b-d7478f3d7271,ba6e3b18-bccb-5149-adae-530286c8bd10,1e358b9a-482e-5245-8abd-2c24abd7f961,2010-02-01T00:00:00,"{""nip"": ""197006272018934002"", ""nuptk"": ""6756647907132167""}",FEMALE,1983-06-18T00:00:00,+62-51-543-8299
6d762e48-54e1-54bc-9325-302dbd35778d,ba6e3b18-bccb-5149-adae-530286c8bd10,ad650b2a-a793-5d1a-98ad-06334e814762,2023-05-01T00:00:00,"{""nip"": ""197412242008119243"", ""nuptk"": ""2955668404595689""}",MALE,2000-07-13T00:00:00,+62 (711) 649 4157
00f85377-6e50-5a2a-8a6a-a8246a8507c2,ba6e3b18-bccb-5149-adae-530286c8bd10,be804fed-4f48-59dc-be72-eb9484cc1a57,2009-12-01T00:00:00,"{""nip"": ""198611222010633475"", ""nuptk"": ""1770444569092615""}",MALE,1978-06-18T00:00:00,083 579 5111
